"1","St Maria, Télémaque","08:44:00","17:04:00","01/01"
"2","St Basile","08:44:00","17:05:00","02/01"
"3","Ste Geneviève","08:43:00","17:06:00","03/01"
"4","St Odilon","08:43:00","17:07:00","04/01"
"5","St Edouard","08:43:00","17:08:00","05/01"
"6","St Mélaine","08:43:00","17:09:00","06/01"
"7","St Raymond","08:43:00","17:10:00","07/01"
"8","St Lucien","08:42:00","17:12:00","08/01"
"9","Ste Alix","08:42:00","17:13:00","09/01"
"10","St Guillaume","08:41:00","17:14:00","10/01"
"11","St Paulin","08:41:00","17:15:00","11/01"
"12","Ste Tatiana","08:40:00","17:17:00","12/01"
"13","Ste Yvette","08:40:00","17:18:00","13/01"
"14","Ste Nina","08:39:00","17:20:00","14/01"
"15","St Rémi","08:38:00","17:21:00","15/01"
"16","St Marcel","08:38:00","17:22:00","16/01"
"17","Ste Roseline","08:37:00","17:24:00","17/01"
"18","Ste Prisca","08:36:00","17:25:00","18/01"
"19","St Marius","08:35:00","17:27:00","19/01"
"20","St Sébastien","08:34:00","17:28:00","20/01"
"21","Ste Agnès","08:33:00","17:30:00","21/01"
"22","St Vincent","08:33:00","17:31:00","22/01"
"23","St Barnard","08:31:00","17:33:00","23/01"
"24","St Fr. de Sales","08:30:00","17:35:00","24/01"
"25","St Paul","08:29:00","17:36:00","25/01"
"26","Ste Paule","08:28:00","17:38:00","26/01"
"27","Ste Angèle","08:27:00","17:39:00","27/01"
"28","St Thomas d'Aquin","08:26:00","17:41:00","28/01"
"29","St Gildas","08:25:00","17:43:00","29/01"
"30","Ste Martine","08:23:00","17:44:00","30/01"
"31","Ste Marcelle","08:22:00","17:46:00","31/01"
"32","Ste Ella","08:21:00","17:47:00","01/02"
"33","Présentation","08:19:00","17:49:00","02/02"
"34","St Blaise","08:18:00","17:51:00","03/02"
"35","Ste Véronique","08:16:00","17:52:00","04/02"
"36","Ste Agathe","08:15:00","17:54:00","05/02"
"37","St Gaston","08:13:00","17:56:00","06/02"
"38","Ste Eugénie","08:12:00","17:57:00","07/02"
"39","Ste Jaqueline","08:10:00","17:59:00","08/02"
"40","Ste Apolline","08:09:00","18:01:00","09/02"
"41","St Arnaud","08:07:00","18:02:00","10/02"
"42","Ste Héloïse","08:06:00","18:04:00","11/02"
"43","St Félix","08:04:00","18:06:00","12/02"
"44","Ste Béatrice","08:02:00","18:07:00","13/02"
"45","St Valentin","08:00:00","18:09:00","14/02"
"46","St Claude","07:59:00","18:11:00","15/02"
"47","Ste Julienne","07:57:00","18:12:00","16/02"
"48","St Alexis","07:55:00","18:14:00","17/02"
"49","Ste Bernadette","07:53:00","18:15:00","18/02"
"50","St Gabin","07:52:00","18:17:00","19/02"
"51","Ste Aimée","07:50:00","18:19:00","20/02"
"52","St Pierre-Damien","07:48:00","18:20:00","21/02"
"53","Ste Isabelle","07:46:00","18:22:00","22/02"
"54","St Lazare","07:44:00","18:24:00","23/02"
"55","St Modeste","07:42:00","18:25:00","24/02"
"56","St Roméo","07:40:00","18:27:00","25/02"
"57","St Nestor","07:39:00","18:28:00","26/02"
"58","Ste Honorine","07:37:00","18:30:00","27/02"
"59","St Romain","07:35:00","18:32:00","28/02"
"60","St Aubin","07:33:00","18:33:00","01/03"
"61","St Ch. Le Bon","07:31:00","18:35:00","02/03"
"62","St Gwenolé","07:29:00","18:36:00","03/03"
"63","St Casimir","07:27:00","18:38:00","04/03"
"64","Ste Olive","07:25:00","18:39:00","05/03"
"65","Ste Colette","07:23:00","18:41:00","06/03"
"66","Ste Félicité","07:21:00","18:43:00","07/03"
"67","St Jean De Dieu","07:19:00","18:44:00","08/03"
"68","Ste Françoise","07:17:00","18:46:00","09/03"
"69","St Vivien","07:15:00","18:47:00","10/03"
"70","Ste Rosine","07:12:00","18:49:00","11/03"
"71","Ste Justine","07:10:00","18:50:00","12/03"
"72","St Rodrigue","07:08:00","18:52:00","13/03"
"73","Ste Mathilde","07:06:00","18:53:00","14/03"
"74","Ste Louise","07:04:00","18:55:00","15/03"
"75","Ste Bénédicte","07:02:00","18:56:00","16/03"
"76","St Patrick","07:00:00","18:58:00","17/03"
"77","St Cyrille","06:58:00","19:00:00","18/03"
"78","St Joseph","06:56:00","19:01:00","19/03"
"79","Ste Alexandra","06:54:00","19:03:00","20/03"
"80","Ste Clémence","06:52:00","19:04:00","21/03"
"81","Ste Léa","06:49:00","19:06:00","22/03"
"82","St Victorien","06:47:00","19:07:00","23/03"
"83","Ste Cath. De Suède","06:45:00","19:09:00","24/03"
"84","St Humbert","06:43:00","19:10:00","25/03"
"85","Ste Larissa","06:41:00","19:12:00","26/03"
"86","St Habib","06:39:00","19:13:00","27/03"
"87","St Gontran","06:37:00","19:15:00","28/03"
"88","Ste Gwladys","06:35:00","19:16:00","29/03"
"89","St Amédée","06:33:00","19:18:00","30/03"
"90","St Benjamin","07:31:00","20:19:00","31/03"
"91","St Hugues","07:28:00","20:21:00","01/04"
"92","Ste Sandrine","07:26:00","20:22:00","02/04"
"93","St Richard","07:24:00","20:24:00","03/04"
"94","St Isidore","07:22:00","20:25:00","04/04"
"95","Ste Irène","07:20:00","20:27:00","05/04"
"96","St Marcellin","07:18:00","20:28:00","06/04"
"97","St J.B. de la Sal","07:16:00","20:30:00","07/04"
"98","Ste Julie","07:14:00","20:31:00","08/04"
"99","St Gautier","07:12:00","20:33:00","09/04"
"100","St Fulbert","07:10:00","20:34:00","10/04"
"101","St Stanislas","07:08:00","20:36:00","11/04"
"102","St Jules","07:06:00","20:37:00","12/04"
"103","Ste Ida","07:04:00","20:38:00","13/04"
"104","St Maxime","07:02:00","20:40:00","14/04"
"105","St Paterne","07:00:00","20:41:00","15/04"
"106","St Benoît-Joseph","06:58:00","20:43:00","16/04"
"107","St Anicet","06:56:00","20:44:00","17/04"
"108","St Parfait","06:54:00","20:46:00","18/04"
"109","Ste Emma","06:52:00","20:47:00","19/04"
"110","Ste Odette","06:50:00","20:49:00","20/04"
"111","St Anselme","06:48:00","20:50:00","21/04"
"112","St Alexandre","06:46:00","20:52:00","22/04"
"113","St Georges","06:45:00","20:53:00","23/04"
"114","St fidèle","06:43:00","20:55:00","24/04"
"115","St Marc","06:41:00","20:56:00","25/04"
"116","Ste Alida","06:39:00","20:58:00","26/04"
"117","Ste Zita","06:37:00","20:59:00","27/04"
"118","Ste Valérie","06:35:00","21:01:00","28/04"
"119","Ste Cath. de Sien","06:34:00","21:02:00","29/04"
"120","St Robert","06:32:00","21:04:00","30/04"
"121","Ste Cécil","06:30:00","21:05:00","01/05"
"122","St Boris","06:29:00","21:07:00","02/05"
"123","St Philippe/Jacques","06:27:00","21:08:00","03/05"
"124","St Sylvain","06:25:00","21:10:00","04/05"
"125","Ste Judith","06:24:00","21:11:00","05/05"
"126","Ste Prudence","06:22:00","21:12:00","06/05"
"127","Ste Gisèle","06:20:00","21:14:00","07/05"
"128","Ste Arsène","06:19:00","21:15:00","08/05"
"129","St Pacôme","06:17:00","21:17:00","09/05"
"130","Ste Solange","06:16:00","21:18:00","10/05"
"131","Ste Estelle","06:14:00","21:19:00","11/05"
"132","St Achille","06:13:00","21:21:00","12/05"
"133","Ste Rolande","06:12:00","21:22:00","13/05"
"134","St Matthias","06:10:00","21:24:00","14/05"
"135","Ste Denise","06:09:00","21:25:00","15/05"
"136","St Honoré","06:08:00","21:26:00","16/05"
"137","St Pascal","06:06:00","21:28:00","17/05"
"138","St Eric","06:05:00","21:29:00","18/05"
"139","St Yves","06:04:00","21:30:00","19/05"
"140","St Bernardin","06:03:00","21:31:00","20/05"
"141","St Constantin","06:01:00","21:33:00","21/05"
"142","St Emile","06:00:00","21:34:00","22/05"
"143","St Didier","05:59:00","21:35:00","23/05"
"144","St Donatien","05:58:00","21:36:00","24/05"
"145","Ste Sophie","05:57:00","21:37:00","25/05"
"146","St Bérenger","05:56:00","21:39:00","26/05"
"147","St Augustin","05:55:00","21:40:00","27/05"
"148","St Germain","05:54:00","21:41:00","28/05"
"149","St Aymard","05:54:00","21:42:00","29/05"
"150","St Ferdinand","05:53:00","21:43:00","30/05"
"151","Ste Marie-Lise","05:52:00","21:44:00","31/05"
"152","St Justin","05:51:00","21:45:00","01/06"
"153","Ste Blandine","05:51:00","21:46:00","02/06"
"154","St Kévin","05:50:00","21:47:00","03/06"
"155","Ste Clotilde","05:49:00","21:48:00","04/06"
"156","St Igor","05:49:00","21:49:00","05/06"
"157","St Norbert","05:48:00","21:49:00","06/06"
"158","St Gilbert","05:48:00","21:50:00","07/06"
"159","St Médard","05:48:00","21:51:00","08/06"
"160","Ste Diane","05:47:00","21:52:00","09/06"
"161","St Landry","05:47:00","21:52:00","10/06"
"162","St Barnabé","05:47:00","21:53:00","11/06"
"163","St Guy","05:46:00","21:54:00","12/06"
"164","St Ant. de Padoue","05:46:00","21:54:00","13/06"
"165","St Elisée","05:46:00","21:55:00","14/06"
"166","Ste Germaine","05:46:00","21:55:00","15/06"
"167","St JF Régis","05:46:00","21:56:00","16/06"
"168","St Hervé","05:46:00","21:56:00","17/06"
"169","St Léonce","05:46:00","21:57:00","18/06"
"170","St Romuald","05:46:00","21:57:00","19/06"
"171","St Silvère","05:46:00","21:57:00","20/06"
"172","St Louis","05:46:00","21:57:00","21/06"
"173","St Alban","05:47:00","21:57:00","22/06"
"174","Ste Audrey","05:47:00","21:58:00","23/06"
"175","St J.Batiste","05:47:00","21:58:00","24/06"
"176","St Prosper","05:48:00","21:58:00","25/06"
"177","St Anthelme","05:48:00","21:58:00","26/06"
"178","St Fernand","05:48:00","21:58:00","27/06"
"179","St Irénée","05:49:00","21:58:00","28/06"
"180","St Pierre/Paul","05:49:00","21:57:00","29/06"
"181","St Martial","05:50:00","21:57:00","30/06"
"182","St Thierry","05:51:00","21:57:00","01/07"
"183","St Martinien","05:51:00","21:57:00","02/07"
"184","St Thomas","05:52:00","21:56:00","03/07"
"185","St Florent","05:53:00","21:56:00","04/07"
"186","St Antoine","05:53:00","21:56:00","05/07"
"187","Ste Mariette","05:54:00","21:55:00","06/07"
"188","St Raoul","05:55:00","21:55:00","07/07"
"189","St Thibaut","05:56:00","21:54:00","08/07"
"190","Ste Amandine","05:57:00","21:54:00","09/07"
"191","St Ulrich","05:57:00","21:53:00","10/07"
"192","St Benoît","05:58:00","21:52:00","11/07"
"193","St Olivier","05:59:00","21:52:00","12/07"
"194","St Henri/Joël","06:00:00","21:51:00","13/07"
"195","St Angeline","06:01:00","21:50:00","14/07"
"196","St Donald","06:02:00","21:49:00","15/07"
"197","St Carmel","06:03:00","21:48:00","16/07"
"198","Ste Charlotte","06:05:00","21:47:00","17/07"
"199","St Frédéric","06:06:00","21:46:00","18/07"
"200","St Arsène","06:07:00","21:45:00","19/07"
"201","Ste Marina","06:08:00","21:44:00","20/07"
"202","St Victor","06:09:00","21:43:00","21/07"
"203","Ste Marie-Madeleine","06:10:00","21:42:00","22/07"
"204","Ste Brigitte","06:12:00","21:41:00","23/07"
"205","Ste Christine","06:13:00","21:40:00","24/07"
"206","St Jacques","06:14:00","21:39:00","25/07"
"207","St Anne/Joachim","06:15:00","21:37:00","26/07"
"208","Ste Nathalie","06:16:00","21:36:00","27/07"
"209","St Samson","06:18:00","21:35:00","28/07"
"210","Ste Marthe","06:19:00","21:33:00","29/07"
"211","Ste Juliette","06:20:00","21:32:00","30/07"
"212","St Ignace de L.","06:22:00","21:30:00","31/07"
"213","St Alphonse","06:23:00","21:29:00","01/08"
"214","St Julien Eymard","06:24:00","21:28:00","02/08"
"215","Ste Lydie","06:26:00","21:26:00","03/08"
"216","St JM Vianney","06:27:00","21:24:00","04/08"
"217","St Abel","06:28:00","21:23:00","05/08"
"218","St Octavien","06:30:00","21:21:00","06/08"
